country,population
ABW,38
AFG,195
AGO,48
AIA,24
ALB,118
AND,48
ANT,15
ARE,106
ARG,1036
ARM,69
ATG,20
AUS,5808
AUT,2000
AZE,78
BDI,8
BEL,1558
BEN,13
BFA,7
BGD,82
BGR,168
BHR,72
BHS,34
BIH,49
BLR,137
BLZ,11
BMU,10
BOL,51
BRA,1737
BRB,35
BRN,16
BTN,11
BWA,14
CAF,3
CAN,5292
CHE,1595
CHL,783
CHN,613
CIV,21
CMR,24
COD,14
COG,8
COK,5
COL,608
COM,3
CPV,9
CRI,206
CUB,25
CYM,7
CYP,68
CZE,579
DEU,8755
DJI,3
DMA,1
DNK,679
DOM,90
DZA,149
ECU,127
EGY,129
ERI,4
ESP,3042
EST,181
ETH,23
EU,65
FIN,575
FJI,13
FRA,11311
FRO,5
FSM,5
For,2
GAB,9
GBR,4337
GEO,39
GGY,9
GHA,20
GIB,3
GIN,5
GMB,3
GNB,1
GRC,553
GRD,3
GRL,2
GTM,68
GUF,9
GUM,1
GUY,6
HKG,275
HND,35
HRV,211
HTI,17
HUN,808
Hon,14
IDN,142
IMN,7
IND,945
IRL,556
IRN,269
IRQ,20
ISL,134
ISR,697
ITA,3807
JAM,11
JEY,9
JOR,38
JPN,829
KAZ,82
KEN,28
KGZ,15
KHM,12
KIR,3
KNA,2
KOR,678
KWT,20
LAO,5
LBN,67
LBY,6
LCA,2
LIE,6
LKA,50
LSO,1
LTU,148
LUX,227
LVA,91
MAC,16
MAR,149
MCO,25
MDA,57
MDG,13
MDV,3
MEX,5504
MHL,2
MKD,49
MLI,6
MLT,44
MMR,12
MNE,8
MNG,13
MOZ,6
MRT,4
MSR,3
MUS,23
MWI,6
MYS,206
MYT,3
NAM,9
NER,4
NGA,40
NIC,18
NIU,2
NLD,1010
NOR,1581
NPL,20
NRU,1
NZL,692
OMN,11
PAK,132
PAN,52
PER,211
PHL,194
PLW,1
PNG,7
POL,1141
PRI,75
PRK,6
PRT,1331
PRY,27
PSE,13
QAT,8
ROU,348
RUS,1944
RWA,5
SAU,84
SDN,6
SEN,12
SGP,417
SHN,2
SLE,4
SLV,56
SM2,4
SMR,4
SOM,5
SRB,138
SUR,4
SVK,253
SVN,179
SWE,1034
SWZ,4
SYC,1
SYR,46
TCD,4
TGO,9
THA,215
TJK,4
TKM,4
TON,2
TTO,31
TUN,81
TUR,1669
TUV,2
TWN,226
TZA,14
UGA,20
UKR,429
URY,82
USA,17384
UZB,14
VCT,3
VEN,360
VGB,7
VIR,17
VNM,92
VUT,1
WLF,4
YEM,2
ZAF,288
ZMB,5
ZWE,13
Total,102243
